timestamp,Current (A)_true,CosPhi (Units)_true,Energy Consumption (kWh)_true,Reactive Energy (VARh)_true,Voltage (V)_true,Current (A)_pred,CosPhi (Units)_pred,Energy Consumption (kWh)_pred,Reactive Energy (VARh)_pred,Voltage (V)_pred,Current (A)_x,CosPhi (Units)_x,Energy Consumption (kWh)_x,Reactive Energy (VARh)_x,Voltage (V)_x,Current (A)_y,CosPhi (Units)_y,Energy Consumption (kWh)_y,Reactive Energy (VARh)_y,Voltage (V)_y,is_anomaly,hour,day_of_week,day_of_month,month,weekend,anomaly_classification,maintenance_required,anomaly_description
2024-05-21 08:00:00,0.07122,0.99607,0.01547,0.0,218.08791,26.026863098145,0.97328543663025,3.7502918243408,3033.6909179688,221.55601501465,673.69540863826,0.0005191363279502,13.948894059572,9203280.5857661,12.02775239263,1.0,1.0,1.0,1.0,1.0,0,8,1,21,5,0,NORMAL,0,Sistema operante entro parametri normali. Tutte le misurazioni sono allineate con i valori previsti.
2024-05-21 09:00:00,0.09452,0.99756,0.01547,0.0,219.11512,22.163581848145,0.97780400514603,3.1589953899384,2603.7143554688,221.53797912598,487.04349085723,0.0003902993326702,9.8817518771871,6779328.444874,5.870246344328,1.0,1.0,1.0,1.0,1.0,0,9,1,21,5,0,NORMAL,0,Sistema operante entro parametri normali. Tutte le misurazioni sono allineate con i valori previsti.
2024-05-21 10:00:00,0.0,1.0,0.01547,0.0,219.51143,20.414722442627,0.97932183742523,2.8784854412079,2425.0668945312,221.5400390625,416.7608924095,0.0004275864074685,8.1968574165948,5880949.4429514,4.1152547284572,1.0,1.0,1.0,1.0,1.0,0,10,1,21,5,0,NORMAL,0,Sistema operante entro parametri normali. Tutte le misurazioni sono allineate con i valori previsti.
2024-05-21 11:00:00,6.77288,0.9968,1.13944,699.35795,220.23439,18.818035125732,0.98076981306076,2.6239128112793,2259.9150390625,221.54063415527,145.08576200296,0.0002569668933069,2.2036595274275,2435338.4282232,1.706273793186,1.0,1.0,1.0,1.0,1.0,0,11,1,21,5,0,NORMAL,0,Sistema operante entro parametri normali. Tutte le misurazioni sono allineate con i valori previsti.
2024-05-21 12:00:00,0.0,1.0,0.01547,0.0,221.49886,19.837251663208,0.97929269075394,2.7729451656342,2381.6896972656,221.55111694336,393.51655354945,0.0004287926562121,7.6036692890891,5672445.8140612,0.0027307881292641,1.0,1.0,1.0,1.0,1.0,0,12,1,21,5,0,NORMAL,0,Sistema operante entro parametri normali. Tutte le misurazioni sono allineate con i valori previsti.
2024-05-21 13:00:00,0.0,1.0,0.01547,0.0,219.68795,17.796682357788,0.98175954818726,2.462539434433,2151.9360351562,221.53999328613,316.72190294401,0.000332714082333,5.9881488169362,4630828.699404,3.4300643337096,1.0,1.0,1.0,1.0,1.0,0,13,1,21,5,0,NORMAL,0,Sistema operante entro parametri normali. Tutte le misurazioni sono allineate con i valori previsti.
2024-05-21 14:00:00,0.06022,0.99762,0.01547,0.0,220.42067,17.228174209595,0.98221743106842,2.3705322742462,2094.8400878906,221.54144287109,294.73865174274,0.000237239129692,5.5463183155778,4388354.9938336,1.2561318285797,1.0,1.0,1.0,1.0,1.0,0,14,1,21,5,0,NORMAL,0,Sistema operante entro parametri normali. Tutte le misurazioni sono allineate con i valori previsti.
2024-05-21 15:00:00,2.3321,0.99658,0.7647,282.4907,220.19263,16.839235305786,0.9825354218483,2.3076796531677,2055.6462402344,221.54231262207,210.45697478039,0.0001972501754592,2.3807862100896,3144080.5698639,1.8216431803185,1.0,1.0,1.0,1.0,1.0,0,15,1,21,5,0,NORMAL,0,Sistema operante entro parametri normali. Tutte le misurazioni sono allineate con i valori previsti.
2024-05-21 16:00:00,2.95585,0.99645,0.63995,263.41317,220.91688,17.791090011597,0.98177051544189,2.4622719287872,2150.4497070312,221.53964233398,220.08434620168,0.0002154872668916,3.3208572121388,3560906.8920909,0.38783292462968,1.0,1.0,1.0,1.0,1.0,0,16,1,21,5,0,NORMAL,0,Sistema operante entro parametri normali. Tutte le misurazioni sono allineate con i valori previsti.
2024-05-21 17:00:00,16.39267,0.98653,1.88892,2206.55531,221.16964,18.191442489624,0.98145717382431,2.5272192955017,2190.2736816406,221.53840637207,3.2355824694282,2.5733565408762e-05,0.40742599063798,265.09142203281,0.13598863716991,1.0,1.0,1.0,1.0,1.0,0,17,1,21,5,0,NORMAL,0,Sistema operante entro parametri normali. Tutte le misurazioni sono allineate con i valori previsti.
